English,POS,Thai
a,"Definite Article, Noun",อันหนึ่ง
abandon,"Verb (transitive), Noun",ละทิ้ง
abandoned,Adjective,ถูกทอดทิ้ง
ability,Noun,ความสามารถ
able,"Adjective, Noun",สามารถ
about,"Preposition, Adverb",เกี่ยวกับ
above,"Preposition, Adverb",ข้างบน
abroad,"Adverb, Adjective",ต่างประเทศ
absence,Noun,ขาด
absent,"Adjective, Verb (usu participle)",ไม่มา
absolute,"Adjective, Noun",แน่นอน
absolutely,Adverb,อย่างแน่นอน
absorb,"Verb (transitive), Verb (usu participle)",ดูดซับ
abuse,"Verb (usu participle), Verb (transitive)",ใช้ในทางที่ผิด
academic,"Adjective, Noun",เชิงวิชาการ
accent,"Noun, Verb (usu participle)",สำเนียง
accept,"Verb (usu participle), Verb (intransitive)",ยอมรับ
acceptable,Adjective,ยอมรับได้
access,"Noun, Verb (transitive)",เข้าถึง
accident,Noun,อุบัติเหตุ
accidental,"Adjective, Noun",บังเอิญ
accidentally,Adverb,โดยบังเอิญ
accommodation,Noun,ที่พัก
accompany,"Verb (usu participle), Verb (transitive)",มาพร้อมกับ
according to,Adjective,ตาม
account,"Noun, Verb (transitive)",บัญชี
account for,"Noun, Verb (transitive)",บัญชีสำหรับ
accurate,Adjective,แม่นยำ
accurately,Adverb,ได้อย่างแม่นยำ
accuse,Verb (usu participle),กล่าวโทษ
achieve,"Verb (usu participle), Verb (transitive)",บรรลุ
achievement,Noun,ความสำเร็จ
acid,"Noun, Adjective",กรด
acknowledge,"Verb (transitive), Verb (usu participle)",รับทราบ
a couple,"Definite Article, Noun",คู่
acquire,"Verb (transitive), Verb (usu participle)",ได้รับ
across,"Preposition, Adverb",ข้าม
act,"Noun, Verb (intransitive)",กระทำ
action,"Noun, Interjection",การกระทำ
active,"Adjective, Noun",คล่องแคล่ว
actively,Adverb,อย่างแข็งขัน
activity,Noun,กิจกรรม
actor,Noun,นักแสดงชาย
actress,Noun,นักแสดงหญิง
actual,Adjective,แท้จริง
actually,Adverb,จริงๆ แล้ว
ad,Noun,โฆษณา
adapt,"Verb (usu participle), Verb (transitive)",ปรับ
add,"Verb (usu participle), Verb (transitive)",เพิ่ม
addition,Noun,ส่วนที่เพิ่มเข้าไป
additional,Adjective,เพิ่มเติม
add on,"Verb (usu participle), Verb (transitive)",เพิ่ม
address,"Noun, Verb (usu participle)",ที่อยู่
add up,"Verb (usu participle), Verb (transitive)",เพิ่มขึ้น
add up to,"Verb (usu participle), Verb (transitive)",เพิ่มขึ้นเป็น
adequate,Adjective,เพียงพอ
adequately,Adverb,อย่างเพียงพอ
adjust,"Verb (transitive), Verb (usu participle)",ปรับ
admiration,Noun,ความชื่นชม
admire,"Verb (transitive), Verb (usu participle)",ชื่นชม
admit,"Verb (usu participle), Verb (intransitive)",ยอมรับ
adopt,"Verb (transitive), Verb (usu participle)",รับเลี้ยง
adult,"Adjective, Noun",ผู้ใหญ่
advance,"Verb (usu participle), Verb (transitive)",ก้าวหน้า
advanced,Adjective,ขั้นสูง
advantage,"Noun, Verb (transitive)",ข้อได้เปรียบ
adventure,"Noun, Verb (usu participle)",การผจญภัย
advert,"Verb (intransitive), Noun",โฆษณา
advertise,"Verb (usu participle), Verb (intransitive)",โฆษณา
advertisement,Noun,โฆษณา
advertising,Noun,การโฆษณา
advice,Noun,คำแนะนำ
advise,"Verb (usu participle), Verb (transitive)",ให้คำแนะนำ
affair,Noun,ธุระ
affect,"Verb (usu participle), Verb (transitive)",ส่งผลกระทบ
affection,Noun,เสน่หา
afford,Verb (usu participle),จ่ายได้
afraid,Adjective,เกรงกลัว
after,"Preposition, Adverb",หลังจาก
afternoon,"Noun, Adjective",ตอนบ่าย
afterwards,Adverb,หลังจากนั้น
again,Adverb,อีกครั้ง
against,Preposition,ขัดต่อ
age,"Noun, Verb (usu participle)",อายุ
aged,"Adjective, Noun",อายุ
agency,Noun,เอเจนซี่
agent,Noun,ตัวแทน
aggressive,Adjective,ก้าวร้าว
ago,"Adverb, Adjective",ที่ผ่านมา
agree,"Verb (usu participle), Verb (transitive)",เห็นด้วย
agreement,Noun,ข้อตกลง
ahead,"Adverb, Adjective",ข้างหน้า
aid,"Verb (usu participle), Verb (transitive)",ความช่วยเหลือ
aim,"Verb (usu participle), Verb (transitive)",จุดมุ่งหมาย
air,"Noun, Verb (usu participle)",อากาศ
aircraft,Noun,อากาศยาน
airport,Noun,สนามบิน
alarm,"Verb (transitive), Noun",เตือน
alarmed,Adjective,ตื่นตระหนก
alarming,Adjective,น่ากลัว
alcohol,Noun,แอลกอฮอล์
alcoholic,"Noun, Adjective",ติดแอลกอฮอล์
alive,Adjective,มีชีวิตอยู่
all,"Definite Article, Adverb",ทั้งหมด
allied,Adjective,พันธมิตร
allow,"Verb (transitive), Verb (intransitive)",อนุญาต
allow for,"Verb (transitive), Verb (intransitive)",อนุญาตให้
all right,"Definite Article, Adverb",เอาล่ะ
ally,"Verb (usu participle), Verb (transitive)",พันธมิตร
almost,Adverb,เกือบ
alone,"Adverb, Adjective",ตามลำพัง
along,"Preposition, Adverb",ตาม
alongside,"Preposition, Adverb",ควบคู่ไปกับ
aloud,Adverb,ดัง
alphabet,Noun,ตัวอักษร
alphabetical,Adjective,ตามตัวอักษร
alphabetically,Adverb,ตามลำดับตัวอักษร
already,Adverb,เรียบร้อยแล้ว
also,Adverb,อีกด้วย
alter,"Verb (usu participle), Verb (transitive)",เปลี่ยนแปลง
alternative,"Noun, Adjective",ทางเลือก
alternatively,Adverb,หรืออีกทางหนึ่ง
although,"Conjunction, Adverb",แม้ว่า
altogether,"Adverb, Noun",โดยสิ้นเชิง
always,Adverb,เสมอ
a.m.,"Definite Article, Noun",เช้า.
amaze,"Verb (transitive), Noun",ตะลึงพรึงเพริด
amazed,"Adjective, Verb (usu participle)",ประหลาดใจ
amazing,Adjective,อัศจรรย์
ambition,"Noun, Verb (usu participle)",ความทะเยอทะยาน
ambulance,Noun,รถพยาบาล
among,Preposition,ท่ามกลาง
amount,"Noun, Verb (intransitive)",จำนวน
amount to,"Noun, Verb (intransitive)",จำนวน
amuse,"Verb (transitive), Verb (usu participle)",น่าขบขัน
amused,"Adjective, Verb (transitive)",ขบขัน
amusing,Adjective,น่าขบขัน
analyse,"Verb (transitive), Verb (usu participle)",วิเคราะห์
analysis,Noun,การวิเคราะห์
ancient,"Adjective, Noun",โบราณ
and,"Conjunction, Noun",และ
anger,"Noun, Verb (transitive)",ความโกรธ
angle,"Noun, Verb (usu participle)",มุม
angrily,Adverb,โกรธ
angry,Adjective,โกรธ
animal,"Noun, Adjective",สัตว์
ankle,Noun,ข้อเท้า
anniversary,"Noun, Adjective",วันครบรอบปี
announce,"Verb (transitive), Verb (intransitive)",ประกาศ
annoy,Verb (usu participle),รบกวน
annoyed,"|, Adjective",รำคาญ
annoying,"Adjective, Noun",น่ารำคาญ
annual,"Adjective, Noun",ประจำปี
annually,Adverb,เป็นประจำทุกปี
another,"Definite Article, Adjective",อื่น
answer,"Noun, Verb (usu participle)",คำตอบ
anti-,"Adjective, Noun",ต่อต้าน-
anticipate,Verb (usu participle),คาดหวัง
anxiety,Noun,ความวิตกกังวล
anxious,Adjective,กังวล
anxiously,Adverb,อย่างใจจดใจจ่อ
any,"Definite Article, Adverb",ใดๆ
